[2026-04-23 15:23:16] Starting async crawl...
[2026-04-23 15:23:16] Input file: /home/buiphamhoaithanh/processed_data/distinct_products.json
[2026-04-23 15:23:16] Concurrency=2, Batch size=5, Retries=0, Timeout(total/connect/read)=10/5/5
[2026-04-23 15:23:37] ACQUIRED product_id=96448 retry=0
[2026-04-23 15:23:37] STATUS product_id=96448 status=403
[2026-04-23 15:23:38] STATUS product_id=89593 status=404
[2026-04-23 15:23:38] Batch 6: total=5, success=3, error=2, time=4.80s
[2026-04-23 15:23:39] RUNNING batch=7 size=5
[2026-04-23 15:23:39] QUEUE product_id=84838 retry=0
[2026-04-23 15:23:39] ACQUIRED product_id=84838 retry=0
[2026-04-23 15:23:39] QUEUE product_id=96530 retry=0
[2026-04-23 15:23:39] ACQUIRED product_id=96530 retry=0
[2026-04-23 15:23:39] QUEUE product_id=92291 retry=0
[2026-04-23 15:23:39] QUEUE product_id=100016 retry=0
[2026-04-23 15:23:39] QUEUE product_id=96616 retry=0
[2026-04-23 15:23:40] STATUS product_id=84838 status=200
[2026-04-23 15:23:40] ACQUIRED product_id=92291 retry=0
[2026-04-23 15:23:41] STATUS product_id=96530 status=200
[2026-04-23 15:23:41] ACQUIRED product_id=100016 retry=0
[2026-04-23 15:23:41] STATUS product_id=100016 status=403
[2026-04-23 15:23:41] ACQUIRED product_id=96616 retry=0
[2026-04-23 15:23:42] STATUS product_id=92291 status=200
[2026-04-23 15:23:42] STATUS product_id=96616 status=200
[2026-04-23 15:23:42] Batch 7: total=5, success=4, error=1, time=3.33s
[2026-04-23 15:23:44] RUNNING batch=8 size=5
[2026-04-23 15:23:44] QUEUE product_id=101994 retry=0
[2026-04-23 15:23:44] ACQUIRED product_id=101994 retry=0
[2026-04-23 15:23:44] QUEUE product_id=98262 retry=0
[2026-04-23 15:23:44] ACQUIRED product_id=98262 retry=0
[2026-04-23 15:23:44] QUEUE product_id=96954 retry=0
[2026-04-23 15:23:44] QUEUE product_id=103958 retry=0
[2026-04-23 15:23:44] QUEUE product_id=91064 retry=0
[2026-04-23 15:23:44] STATUS product_id=101994 status=404
[2026-04-23 15:23:44] ACQUIRED product_id=96954 retry=0
[2026-04-23 15:23:45] STATUS product_id=98262 status=200
[2026-04-23 15:23:45] ACQUIRED product_id=103958 retry=0
[2026-04-23 15:23:46] STATUS product_id=96954 status=200
[2026-04-23 15:23:46] ACQUIRED product_id=91064 retry=0
[2026-04-23 15:23:46] STATUS product_id=103958 status=200
[2026-04-23 15:23:47] STATUS product_id=91064 status=200
